Cast Type,Person ID,Lead,Season Type,Season,First Name,Last Name,Age,Occupation (Raw),Occupation (Clean),Occupation Group,Week Number Eliminated,Place,Circumstance,Bachelor Pad 1,Bachelor Pad 2,Bachelor Pad 3,BiP 1,BiP 2,BiP 3,BiP 4,BiP 5,BiP 6,Bachelor Winter Games,Total Ensemble Appearances,Hometown,State,Lead Religion,Lead Race,How Season Ended,Relationship Status (Nov 2021)
Contestant,22,Aaron Buerge,Bachelor,Bachelor 2,Merrilee,Donohue,28,1st Grade Teacher,1st Grade Teacher,Teaching,Week 1,24,,,,,,,,,,,,0,Forked River,New Jersey,,,,
Contestant,23,Aaron Buerge,Bachelor,Bachelor 2,Shannon,,26,Graphic Artist,Graphic Artist,Art & Design,Week 3,10,,,,,,,,,,,,0,Long Island,New York,,,,
Contestant,24,Aaron Buerge,Bachelor,Bachelor 2,Suzanne,Freeman,33,Flight Attendant,Flight Attendant,Aviation,Week 2,13,,,,,,,,,,,,0,Redondo Beach,California,,,,
Contestant,25,Aaron Buerge,Bachelor,Bachelor 2,Suzi,Reid,28,Communications Specialist,Communications Specialist,Public Relations & Communications,Week 1,25,,,,,,,,,,,,0,Richmond,Virginia,,,,
Contestant,26,Alex Michel,Bachelor,Bachelor 1,Alexa,,27,Special Education Teacher,Special Education Teacher,Teaching,Week 2,9,,,,,,,,,,,,0,Beverly Hills,California,,,,
Contestant,27,Alex Michel,Bachelor,Bachelor 1,Amanda,Marsh,23,Event Planner,Event Planner,Event Planning,Winner,1,,,,,,,,,,,,0,Chanute,Kansas,,,,
Contestant,28,Alex Michel,Bachelor,Bachelor 1,Amber,,29,Business Development Director,Business Development Director,Business & Entrepreneurship,Week 1,16,,,,,,,,,,,,0,Los Angeles,California,,,,
Contestant,29,Alex Michel,Bachelor,Bachelor 1,Amy,Anzel,28,Production Coordinator,Production Coordinator,Media & Journalism,Week 2,10,,,,,,,,,,,,0,New York,New York,,,,
Contestant,30,Alex Michel,Bachelor,Bachelor 1,Angela,,25,Hooters Waitress,Hooters Waitress,Food Service,Week 2,11,,,,,,,,,,,,0,Avondale,Arizona,,,,
Contestant,31,Alex Michel,Bachelor,Bachelor 1,Angelique,Madrid,27,Actress,Actor,Modeling & Acting,Week 2,12,,,,,,,,,,,,0,Burbank,California,,,,
Contestant,32,Alex Michel,Bachelor,Bachelor 1,Cathy,Grimes,22,Graduate Student,Graduate Student,Student (General),Week 3,5,,,,,,,,,,,,0,Terra Haute,Indiana,,,,
Contestant,33,Alex Michel,Bachelor,Bachelor 1,Christina,Stencil,28,Attorney,Attorney,Lawyers & Legal Services,Week 3,6,,,,,,,,,,,,0,Bonita,California,,,,
Contestant,34,Alex Michel,Bachelor,Bachelor 1,Daniela,,30,Neuropsychologist,Neuropsychologist,Health & Medical Professional,Week 1,17,,,,,,,,,,,,0,Seattle,Washington,,,,
Contestant,35,Alex Michel,Bachelor,Bachelor 1,Denise,,30,Doctor,Doctor,Physicians & Dentists,Week 1,18,,,,,,,,,,,,0,Honolulu,Hawaii,,,,
Contestant,36,Alex Michel,Bachelor,Bachelor 1,Jackie,,22,Bar Manager,Bar Manager,Food Service,Week 1,19,,,,,,,,,,,,0,Pittsburgh,Pennsylvania,,,,
Contestant,37,Alex Michel,Bachelor,Bachelor 1,Jill,,31,Retail Manager,Retail Manager,Fashion Design & Retail,Week 1,20,,,,,,,,,,,,0,Chicago,Illinois,,,,
Contestant,38,Alex Michel,Bachelor,Bachelor 1,Katie,,23,Power Tool Sales Rep.,Power Tool Sales Representative,Sales,Week 2,13,,,,,,,,,,,,0,Malden,Massachusetts,,,,
Contestant,39,Alex Michel,Bachelor,Bachelor 1,Kim,,24,Nanny,Nanny,Child Care & Family Services,Week 4,4,,,,,,,,,,,,0,Tempe,Arizona,,,,
Contestant,40,Alex Michel,Bachelor,Bachelor 1,Kristina,Jenkins,27,Advertising Executive,Advertising Executive,Advertising & Marketing,Week 1,21,,,,,,,,,,,,0,Los Angeles,California,,,,
Contestant,41,Alex Michel,Bachelor,Bachelor 1,LaNease,Adams,23,Actress,Actor,Modeling & Acting,Week 3,7,,,,,,,,,,,,0,Los Angeles,California,,,,
Contestant,42,Alex Michel,Bachelor,Bachelor 1,Lisa,Gold,29,Attorney,Attorney,Lawyers & Legal Services,Week 1,22,,,,,,,,,,,,0,Dallas,Texas,,,,
Contestant,43,Alex Michel,Bachelor,Bachelor 1,Melissa,,25,Photographer,Photographer,Art & Design,Week 2,14,,,,,,,,,,,,0,Tempe,Arizona,,,,
Contestant,44,Alex Michel,Bachelor,Bachelor 1,Paula,,24,Insurance Representative,Insurance Representative,Financial Services & Investing,Week 1,23,,,,,,,,,,,,0,Swansea,Massachusetts,,,,
Contestant,45,Alex Michel,Bachelor,Bachelor 1,Rachel,,29,6th Grade Teacher,6th Grade Teacher,Teaching,Week 1,24,,,,,,,,,,,,0,Eastchester,New York,,,,
Contestant,46,Alex Michel,Bachelor,Bachelor 1,Rhonda,Rittenhouse,28,Commercial Real Estate Agent,Commercial Real Estate Agent,Real Estate & Interior Design,Week 3,8,,,,,,,,,,,,0,Woodward,Oklahoma,,,,
Contestant,47,Alex Michel,Bachelor,Bachelor 1,Shannon,Oliver,24,Financial Management Consultant,Financial Management Consultant,Financial Services & Investing,Week 5,3,,,,,,,,,,,,0,Dallas,Texas,,,,
Contestant,48,Alex Michel,Bachelor,Bachelor 1,Tina,Chen,27,Graduate Student,Graduate Student,Student (General),Week 2,15,,,,,,,,,,,,0,Plano,Texas,,,,
Contestant,49,Alex Michel,Bachelor,Bachelor 1,Trista,Rehn,29,Miami Heat Dancer,Miami Heat Dancer,Professional Athletics,Runner-up,2,,,,,,,,,,,,0,Miami,Florida,,,,
Contestant,50,Alex Michel,Bachelor,Bachelor 1,Wendi,Plotnik,26,Technology Specialist,Technology Specialist,Technology & Software,Week 1,25,,,,,,,,,,,,0,Dallas,Texas,,,,
Contestant,51,Ali Fedotowsky,Bachelorette,Bachelorette 6,Chris,Lambton,33,Landscaper,Landscaper,Construction & Trades,Runner-up,2,,,,,,,,,,,,0,Dennis,Massachusetts,,,,
Contestant,52,Ali Fedotowsky,Bachelorette,Bachelorette 6,Chris,Nordhorn,29,Entrepreneur,Entrepreneur,Business & Entrepreneurship,Week 5,8,,,,,,,,,,,,0,Winter Park,Florida,,,,
Contestant,53,Ali Fedotowsky,Bachelorette,Bachelorette 6,Chris,Hasek-Watt,27,Real Estate Developer,Real Estate Developer,Real Estate & Interior Design,Week 2,15,,,,,,,,,,,,0,Campbell River,Canada,,,,
Contestant,54,Ali Fedotowsky,Bachelorette,Bachelorette 6,Craig,Robinson,27,Surfer,Lawyer,Lawyers & Legal Services,Week 6,6,,,,,,,,,,,,0,Langhorne,Pennsylvania,,,,
Contestant,55,Ali Fedotowsky,Bachelorette,Bachelorette 6,Craig,McKinnon,34,Dental Sales,Dental Sales,Sales,Week 2,16,,1,,,,,,,,,,1,Sarnia,Canada,,,,
Contestant,56,Ali Fedotowsky,Bachelorette,Bachelorette 6,Derek,,28,Sales Manager,Sales Manager,Sales,Week 1,18,,,,,,,,,,,,0,Warren,Michigan,,,,
Contestant,57,Ali Fedotowsky,Bachelorette,Bachelorette 6,Derrick,Schuster,27,Construction Engineer,Construction Engineer,Construction & Trades,Week 1,19,,,,,,,,,,,,0,Manhattan Beach,California,,,,
Contestant,58,Ali Fedotowsky,Bachelorette,Bachelorette 6,Frank,Neuschaefer,31,Retail Manager,Retail Manager,Financial Services & Investing,Week 9,3,Quit,,,,,,,,,,,0,Bartlett,Illinois,,,,
Contestant,59,Ali Fedotowsky,Bachelorette,Bachelorette 6,Hunter,Wagner,28,Internet Account Executive,Internet Account Executive,Technology & Software,Week 3,14,,,,,,,,,,,,0,Fair Oaks Ranch,Texas,,,,
Contestant,60,Ali Fedotowsky,Bachelorette,Bachelorette 6,Jason,Whitehead,27,Construction Consultant,Construction Consultant,Construction & Trades,Week 1,20,,,,,,,,,,,,0,Johnson City,Tennessee,,,,
Contestant,61,Ali Fedotowsky,Bachelorette,Bachelorette 6,Jay,Resmini,29,Lawyer,Lawyer,Lawyers & Legal Services,Week 1,21,,,,,,,,,,,,0,Barrington,Rhode Island,,,,
Contestant,62,Ali Fedotowsky,Bachelorette,Bachelorette 6,Jesse,Beck,24,General Contractor,General Contractor,Construction & Trades,Week 4,10,,1,,,,,,,,,,1,Peculiar,Missouri,,,,
Contestant,63,Ali Fedotowsky,Bachelorette,Bachelorette 6,John,Crivello,32,Hotel Business Development,Hotel Business Development,Hospitality,Week 3,12,,,,,,,,,,,,0,Mukilteo,Washington,,,,
Contestant,64,Ali Fedotowsky,Bachelorette,Bachelorette 6,John,Nichols,27,Engineering Software Sales,Engineering Software Sales,Sales,Week 1,22,,,,,,,,,,,,0,Wichita,Kansas,,,,
Contestant,65,Ali Fedotowsky,Bachelorette,Bachelorette 6,Jonathan,Novack,30,Weatherman,Weatherman,Science & Research,Week 4,11,,1,,,,,,,,,,1,Boston,Massachusetts,,,,
Contestant,66,Ali Fedotowsky,Bachelorette,Bachelorette 6,Justin,Rego,26,Entertainment Wrestler,Entertainment Wrestler,Professional Athletics,Week 6,7,DQ - Relationship Back Home,,1,,,,,,,,,1,Toronto,Canada,,,,
Contestant,67,Ali Fedotowsky,Bachelorette,Bachelorette 6,Kasey,Kahl,27,Advertising Account Executive,Advertising Account Executive,Advertising & Marketing,Week 5,9,,,1,,,,,,,,,1,Fresno,California,,,,
Contestant,68,Ali Fedotowsky,Bachelorette,Bachelorette 6,Kirk,DeWindt,27,Sales Consultant,Sales Consultant,Sales,Week 8,4,,,1,,,1,,,,,,2,Green Bay,Wisconsin,,,,
Contestant,69,Ali Fedotowsky,Bachelorette,Bachelorette 6,Kyle,Higgins,26,Outdoorsman,Outdoorsman,Entertainment & Recreation,Week 1,23,,,,,,,,,,,,0,Highlands Ranch,Colorado,,,,
Contestant,70,Ali Fedotowsky,Bachelorette,Bachelorette 6,Phil,Kayden,30,Investment Manager,Investment Manager,Financial Services & Investing,Week 1,24,,,,,,,,,,,,0,Elmore,Ohio,,,,
Contestant,71,Ali Fedotowsky,Bachelorette,Bachelorette 6,Roberto,Martinez,28,Insurance agent,Insurance Agent,Financial Services & Investing,Winner,1,,,,,,,,,,,,0,Jacksonville,Florida,,,,
Contestant,72,Ali Fedotowsky,Bachelorette,Bachelorette 6,Steve,Kocsis,28,Sales Representative,Sales Representative,Sales,Week 3,13,,,,,,,,,,,,0,Chesterland,Ohio,,,,
Contestant,73,Ali Fedotowsky,Bachelorette,Bachelorette 6,Ty,Brown,31,Medical Sales,Medical Sales,Sales,Week 7,5,,,,,,,,,,,,0,Booneville,Mississippi,,,,
Contestant,74,Ali Fedotowsky,Bachelorette,Bachelorette 6,Tyler,Vermette,25,Online Advertising,Online Advertising,Advertising & Marketing,Week 2,17,,,,,,,,,,,,0,Chelsea,Vermont,,,,
Contestant,75,Ali Fedotowsky,Bachelorette,Bachelorette 6,Tyler,Morrow,25,Catering Manager,Catering Manager,Food Service,Week 1,25,,,,,,,,,,,,0,Helena,Montana,,,,
Contestant,76,Andi Dorfman,Bachelorette,Bachelorette 10,Andrew,Poole,30,Social Media Marketer,Social Media Marketer,Advertising & Marketing,Week 5,9,,,,,,,,,,,,0,Portola Valley,California,,,,
Contestant,77,Andi Dorfman,Bachelorette,Bachelorette 10,Bradley,Wisk,32,Opera Singer,Opera Singer,Musicians & Singers,Week 3,14,,,,,,,,,,,,0,Grosse Pointe,Michigan,,,,
Contestant,78,Andi Dorfman,Bachelorette,Bachelorette 10,Brett,Melnick,29,Hairstylist,Hair Stylist,Hair & Makeup,Week 3,15,,,,,,,1,,,,,1,Warminster,Pennsylvania,,,,
Contestant,79,Andi Dorfman,Bachelorette,Bachelorette 10,Brian,Osborne,27,Basketball Coach,Basketball Coach,Personal Trainers & Coaches,Week 7,5,,,,,,,,,,,,0,Camp Hill,Pennsylvania,,,,
Contestant,80,Andi Dorfman,Bachelorette,Bachelorette 10,Carl,King,30,Firefighter,Firefighter,Military & Civil Service,Week 2,17,,,,,,,1,,,,,1,Hollywood,California,,,,
Contestant,81,Andi Dorfman,Bachelorette,Bachelorette 10,Chris,Soules,32,Farmer,Farmer,Farming,Week 9,3,,,,,,,,,,,,0,Lamont,Iowa,,,,
Contestant,82,Andi Dorfman,Bachelorette,Bachelorette 10,Cody,Sattler,28,Personal Trainer,Personal Trainer,Personal Trainers & Coaches,Week 6,8,,,,,1,,,,,,,1,Oakley,Kansas,,,,
Contestant,83,Andi Dorfman,Bachelorette,Bachelorette 10,Craig,Muhlbauer,29,Tax Accountant,Tax Accountant,Financial Services & Investing,Week 2,18,,,,,,,,,,,,0,Defiance,Iowa,,,,
Contestant,84,Andi Dorfman,Bachelorette,Bachelorette 10,Dylan,Petitt,26,Accountant,Accountant,Financial Services & Investing,Week 7,6,,,,,1,,,,,,,1,Longmeadow,Massachusetts,,,,
Contestant,85,Andi Dorfman,Bachelorette,Bachelorette 10,Emil,Schaffroth,33,Helicopter Pilot,Helicopter Pilot,Aviation,Week 1,20,,,,,,,,,,,,0,Portland,Oregon,,,,
Contestant,86,Andi Dorfman,Bachelorette,Bachelorette 10,Eric,Hill,31,Explorer,Explorer,Entertainment & Recreation,Week 4,13,,,,,,,,,,,,0,Citrus Heights,California,,,,
Contestant,87,Andi Dorfman,Bachelorette,Bachelorette 10,J.J.,O'Brien,30,Pantsapreneur,Pantsapreneur,Business & Entrepreneurship,Week 6,7,,,,,,,,,,,,0,Hanover,Massachusetts,,,,
Contestant,88,Andi Dorfman,Bachelorette,Bachelorette 10,Jason,Leep,35,Urgent Care Physician,Urgent Care Physician,Physicians & Dentists,Week 1,21,,,,,,,,,,,,0,Sturgeon Bay,Wisconsin,,,,
Contestant,89,Andi Dorfman,Bachelorette,Bachelorette 10,Josh,Murray,29,Former Professional Baseball Player,Former Professional Baseball Player,Professional Athletics,Winner,1,,,,,,,1,,,,,1,Tampa,Florida,,,,
Contestant,90,Andi Dorfman,Bachelorette,Bachelorette 10,Josh,Bauer,29,Telecommunication Marketer,Telecommunication Marketer,Advertising & Marketing,Week 1,22,,,,,,,,,,,,0,Evergreen,Colorado,,,,
Contestant,91,Andi Dorfman,Bachelorette,Bachelorette 10,Marcus,Grodd,25,Sports Medicine Manager,Sports Medicine Manager,Health & Human Services Administration,Week 8,4,,,,,1,,,,,,,1,Medicine Hat,Canada,,,,
Contestant,92,Andi Dorfman,Bachelorette,Bachelorette 10,Marquel,Martin,26,Sponsorship Salesman,Sponsorship Sales,Sales,Week 5,10,,,,,1,,,,,,,1,Rialto,California,,,,
Contestant,93,Andi Dorfman,Bachelorette,Bachelorette 10,Mike,Campanelli,29,Bartender,Bartender,Food Service,Week 1,23,,,,,,,,,,,,0,Guilderland,New York,,,,
Contestant,94,Andi Dorfman,Bachelorette,Bachelorette 10,Nick,Viall,33,Software Sales Executive,Software Sales Executive,Sales,Runner-up,2,,,,,,,1,,,,,1,Waukesha,Wisconsin,,,,
Contestant,95,Andi Dorfman,Bachelorette,Bachelorette 10,Nick,Sutter,27,Professional Golfer,Professional Golfer,Professional Athletics,Week 2,19,,,,,,,,,,,,0,Barrington,Illinois,,,,
Contestant,96,Andi Dorfman,Bachelorette,Bachelorette 10,Patrick,Jagodzinski,29,Advertising Executive,Advertising Executive,Advertising & Marketing,Week 5,11,,,,,,,,,,,,0,Clinton,New Jersey,,,,
Contestant,97,Andi Dorfman,Bachelorette,Bachelorette 10,Ron,Worrell,28,Beverage Sales Manager,Beverage Sales Manager,Food Service,Week 3,16,Quit,,,,,,,,,,,0,Nahariya,Israel,,,,
Contestant,98,Andi Dorfman,Bachelorette,Bachelorette 10,Rudie,Dane,31,Attorney,Attorney,Lawyers & Legal Services,Week 1,24,,,,,,,,,,,,0,Yorba Linda,California,,,,
Contestant,99,Andi Dorfman,Bachelorette,Bachelorette 10,Steven,Woolworth,30,Snowboard Product Developer,Snowboard Product Developer,Business & Entrepreneurship,Week 1,25,,,,,,,,,,,,0,Meadow Vista,California,,,,
Contestant,100,Andi Dorfman,Bachelorette,Bachelorette 10,Tasos,Hernandez,30,Wedding Event Coordinator,Wedding Event Coordinator,Event Planning,Week 4,12,,,,,1,,,,,,,1,Denver,Colorado,,,,
Contestant,101,Andrew Firestone,Bachelor,Bachelor 3,Amber,,23,Account Executive,Account Executive,Advertising & Marketing,unk,unk,,,,,,,,,,,,0,Atlanta,Georgia,,,,
Contestant,102,Andrew Firestone,Bachelor,Bachelor 3,Amy,,24,Graphic Designer,Graphic Designer,Art & Design,unk,unk,,,,,,,,,,,,0,New York,New York,,,,
Contestant,103,Andrew Firestone,Bachelor,Bachelor 3,Amy,,29,Massage Therapist,Massage Therapist,Health & Medical Professional,unk,unk,,,,,,,,,,,,0,Charleston,North Carolina,,,,
Contestant,104,Andrew Firestone,Bachelor,Bachelor 3,Angela,,25,Student,Student,Student (General),unk,unk,,,,,,,,,,,,0,Williamsville,New York,,,,
Contestant,105,Andrew Firestone,Bachelor,Bachelor 3,Anne-Michelle,,25,Bartender/Actress,Bartender / Actor,Modeling & Acting,unk,unk,,,,,,,,,,,,0,Burbank,California,,,,
Contestant,106,Andrew Firestone,Bachelor,Bachelor 3,Audree,,26,Hair Stylist,Hair Stylist,Hair & Makeup,unk,unk,,,,,,,,,,,,0,Las Vegas,Nevada,,,,
Contestant,107,Andrew Firestone,Bachelor,Bachelor 3,Brooke,,21,Student,Student,Student (General),unk,unk,,,,,,,,,,,,0,Jacksonville,Florida,,,,
Contestant,108,Andrew Firestone,Bachelor,Bachelor 3,Christina,,30,Pharmaceutical Sales Consultant,Pharmaceutical Sales Consultant,Sales,unk,unk,,,,,,,,,,,,0,Montclair,New Jersey,,,,
Contestant,109,Andrew Firestone,Bachelor,Bachelor 3,Chrristina,,24,Realtor,Realtor,Real Estate & Interior Design,unk,unk,,,,,,,,,,,,0,Palm Harbor,Florida,,,,
Contestant,110,Andrew Firestone,Bachelor,Bachelor 3,Courtney,,24,Administrative Assistant,Administrative Assistant,Business & Entrepreneurship,unk,unk,,,,,,,,,,,,0,San Anselmo,California,,,,
Contestant,111,Andrew Firestone,Bachelor,Bachelor 3,Elizabeth,,24,Child Life  Specialist,Child Life  Specialist,Health & Medical Professional,unk,unk,,,,,,,,,,,,0,Bolingbrook,Illinois,,,,
Contestant,112,Andrew Firestone,Bachelor,Bachelor 3,Elizabeth,,23,Event Market Director,Event Market Director,Event Planning,unk,unk,,,,,,,,,,,,0,Chicago,Illinois,,,,
Contestant,113,Andrew Firestone,Bachelor,Bachelor 3,Heather,,22,Student,Student,Student (General),unk,unk,,,,,,,,,,,,0,Waltham,Massachusetts,,,,
Contestant,114,Andrew Firestone,Bachelor,Bachelor 3,Jen,Schefft,26,Account Executive,Account Executive,Advertising & Marketing,Winner,1,,,,,,,,,,,,0,Chicago,Illinois,,,,
Contestant,115,Andrew Firestone,Bachelor,Bachelor 3,Jennifer,,26,Pharmacist,Pharmacist,Physicians & Dentists,unk,unk,,,,,,,,,,,,0,New Port Richey,Florida,,,,
Contestant,116,Andrew Firestone,Bachelor,Bachelor 3,Kerri,,25,Corporate Recruiter,Corporate Recruiter,Human Resources & Recruiting,unk,unk,,,,,,,,,,,,0,Los Angeles,California,,,,
Contestant,117,Andrew Firestone,Bachelor,Bachelor 3,Kirsten,Buschbacher,23,Merchant for e-Commerce Site,Merchant For E-Commerce Site,Advertising & Marketing,Runner-up,2,,,,,,,,,,,,0,Valrico,Florida,,,,
Contestant,118,Andrew Firestone,Bachelor,Bachelor 3,Kristen,,29,Real Estate Sales,Real Estate Sales,Real Estate & Interior Design,unk,unk,,,,,,,,,,,,0,Excelsior,Minnesota,,,,
Contestant,119,Andrew Firestone,Bachelor,Bachelor 3,Kristina,,22,Student,Student,Student (General),unk,unk,,,,,,,,,,,,0,Oconomowoc,Wisconsin,,,,
Contestant,120,Andrew Firestone,Bachelor,Bachelor 3,Rachel,,21,Student,Student,Student (General),unk,unk,,,,,,,,,,,,0,New Braunfels,Texas,,,,
Contestant,121,Andrew Firestone,Bachelor,Bachelor 3,Shannon,,26,Human Resources,Human Resources,Human Resources & Recruiting,unk,unk,,,,,,,,,,,,0,New York,New York,,,,
Contestant,122,Andrew Firestone,Bachelor,Bachelor 3,Stephanie,,21,Server,Server,Food Service,unk,unk,,,,,,,,,,,,0,Mt. Pleasant,Tennessee,,,,
Contestant,123,Andrew Firestone,Bachelor,Bachelor 3,Tiffany,,26,Mansion Caretaker,Mansion Caretaker,Real Estate & Interior Design,unk,unk,,,,,,,,,,,,0,Cuyahoga Falls,Ohio,,,,
Contestant,124,Andrew Firestone,Bachelor,Bachelor 3,Tina,,26,Sales Event Planner,Sales Event Planner,Event Planning,unk,unk,,,,,,,,,,,,0,Atlanta,Georgia,,,,
Contestant,125,Andrew Firestone,Bachelor,Bachelor 3,Virginia,,25,Server,Server,Food Service,unk,unk,,,,,,,,,,,,0,Kansas City,Missouri,,,,
Contestant,126,Andy Baldwin,Bachelor,Bachelor 10,Alexis,Young,26,Attorney,Attorney,Lawyers & Legal Services,Week 2,13,,,,,,,,,,,,0,Southlake,Texas,,,,
Contestant,127,Andy Baldwin,Bachelor,Bachelor 10,Amanda,Hackney,26,Financial analyst,Financial Analyst,Financial Services & Investing,Week 3,10,,,,,,,,,,,,0,Dallas,Texas,,,,
Contestant,128,Andy Baldwin,Bachelor,Bachelor 10,Amber,Alchalabi,23,Teacher,Teacher,Teaching,Week 6,4,,,,,,,,,,,,0,Sugar Land,Texas,,,,
Contestant,129,Andy Baldwin,Bachelor,Bachelor 10,Bevin Nicole,Powers,28,Assistant,Assistant,Business & Entrepreneurship,Week 8,2,,,,,,,,,,,,0,Palo Alto,California,,,,
Contestant,130,Andy Baldwin,Bachelor,Bachelor 10,Blakeney,Rowe,29,Radio sales,Radio Sales,Sales,Week 1,16,,,,,,,,,,,,0,Birmingham,Alabama,,,,
Contestant,131,Andy Baldwin,Bachelor,Bachelor 10,Candice,DeCost,23,Waitress,Waitress,Food Service,Week 1,17,,,,,,,,,,,,0,Hilton Head Island,South Carolina,,,,
Contestant,132,Andy Baldwin,Bachelor,Bachelor 10,Catherine,Warren,23,Former Miss Illinois,Former Miss Illinois,Entertainment & Recreation,Week 1,18,,,,,,,,,,,,0,Lake Forest,Illinois,,,,
Contestant,133,Andy Baldwin,Bachelor,Bachelor 10,Danielle,Imwalle,25,Graphic Designer,Graphic Designer,Art & Design,Week 7,3,,,,,,,,,,,,0,Bethel,Connecticut,,,,
Contestant,134,Andy Baldwin,Bachelor,Bachelor 10,Danielle,Vallis,26,Attorney,Attorney,Lawyers & Legal Services,Week 1,19,,,,,,,,,,,,0,Bronx,New York,,,,
Contestant,135,Andy Baldwin,Bachelor,Bachelor 10,Erin,Parker,24,Financial analyst,Financial Analyst,Financial Services & Investing,Week 3,11,,,,,,,,,,,,0,Logansport,Louisiana,,,,
Contestant,136,Andy Baldwin,Bachelor,Bachelor 10,Jackie,Topelli,23,Executive coordinator,Executive Coordinator,Business & Entrepreneurship,Week 1,20,,,,,,,,,,,,0,Minneapolis,Minnesota,,,,
